,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales Availability Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Stage,Category,Unit Type,Unit Code,Grand Total (Pricing Structure),Total Finishing Price,Unit Total with Finishing Price,Planned Delivery Date,Actual Delivery Date,Completion Progress, Land Area  (Pricing Structure), Built Area  (Pricing Structure), Basement Area  (Pricing Structure), Uncovered Basement Area  (Pricing Structure), Penthouse Area  (Pricing Structure), Semi Covered Roof Area  (Pricing Structure), Roof Area  (Pricing Structure),Garden / Outdoor Area (Pricing Structure), Garage Area  (Pricing Structure),  Pergola Area  (Pricing Structure), Storage Area  (Pricing Structure), Extra BuiltUp Area  (Pricing Structure),Finishing Specs, Club  (Pricing Structure),,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Typical,Apartment,D2A8-02-0112,"ج.م.‏​9,230,000.00","ج.م.‏​2,619,084.00","ج.م.‏​11,849,084.00",6/30/2030,,,0.00,127.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Typical,Apartment,D2A8-02-0122,"ج.م.‏​9,230,000.00","ج.م.‏​2,619,084.00","ج.م.‏​11,849,084.00",6/30/2030,,,0.00,127.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-3 Bed-Penthouse,Apartment,D2A8-02-0151,"ج.م.‏​11,142,000.00","ج.م.‏​3,251,710.00","ج.م.‏​14,393,710.00",6/30/2030,,,0.00,151.07,0.00,0.00,0.00,0.00,22.60,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-3 Bed-Garden,Apartment,D2A8-02-0203,"ج.م.‏​11,435,000.00","ج.م.‏​3,186,202.00","ج.م.‏​14,621,202.00",6/30/2030,,,0.00,154.67,0.00,0.00,0.00,0.00,0.00,56.80,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Typical,Apartment,D2A8-02-0211,"ج.م.‏​9,020,000.00","ج.م.‏​2,705,192.00","ج.م.‏​11,725,192.00",6/30/2030,,,0.00,131.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Typical,Apartment,D2A8-02-0212,"ج.م.‏​8,536,000.00","ج.م.‏​2,577,060.00","ج.م.‏​11,113,060.00",6/30/2030,,,0.00,125.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-3 Bed-Typical,Apartment,D2A8-02-0213,"ج.م.‏​10,346,000.00","ج.م.‏​3,186,202.00","ج.م.‏​13,532,202.00",6/30/2030,,,0.00,154.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Typical,Apartment,D2A8-02-0221,"ج.م.‏​9,020,000.00","ج.م.‏​2,705,192.00","ج.م.‏​11,725,192.00",6/30/2030,,,0.00,131.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Typical,Apartment,D2A8-02-0222,"ج.م.‏​8,536,000.00","ج.م.‏​2,577,060.00","ج.م.‏​11,113,060.00",6/30/2030,,,0.00,125.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Typical,Apartment,D2A8-02-0231,"ج.م.‏​9,020,000.00","ج.م.‏​2,705,192.00","ج.م.‏​11,725,192.00",6/30/2030,,,0.00,131.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Typical,Apartment,D2A8-02-0232,"ج.م.‏​8,536,000.00","ج.م.‏​2,577,060.00","ج.م.‏​11,113,060.00",6/30/2030,,,0.00,125.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
